Etablissement,Classe,
GSP Al Vaida & El Awlama,1ere AS,1ère année collège
GSP Al Vaida & El Awlama,2eme AS1,2ème année collège
GSP Al Vaida & El Awlama,3eme AS1,3ème année collège
GSP Al Vaida & El Awlama,3eme AS2,3ème année collège
GSP Al Vaida & El Awlama,4eme AS1,4ème année collège
GSP Al Vaida & El Awlama,4eme AS2,4ème année collège
GSP Al Vaida & El Awlama,5eme D,5ème année collège
GSP Al Vaida & El Awlama,5eme C,5ème année collège
GSP Al Vaida & El Awlama,6eme C,6ème année collège
GSP Al Vaida & El Awlama,6eme D,6ème année collège
GSP Al Vaida & El Awlama,7eme D1,Terminale
GSP Al Vaida & El Awlama,7eme D2,Terminale
GSP Al Vaida & El Awlama,2eme AS2,2ème année collège
ESPRI,2AF,Master 2
ICM,L3,Licence 3
